kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K03077.01,Kepler-1899 b,CANDIDATE → CONFIRMED,4.09578199,1.64,124.3,4791.0,q1_q17_dr25_tce,0.956276619702814
K03094.01,Kepler-1904 b,CANDIDATE → CONFIRMED,4.5770016,1.33,24.38,3805.0,q1_q17_dr25_tce,0.9680041951009282
K01599.02,Kepler-1659 b,CANDIDATE → CONFIRMED,13.6164547,22.29,76.81,5823.0,q1_q17_dr25_tce,0.11812737597388864
K00339.03,Kepler-529 d,CANDIDATE → CONFIRMED,35.8656484,2.44,37.92,6078.0,q1_q17_dr25_tce,0.9601982274687862
K05274.01,,FALSE POSITIVE → CANDIDATE,55.7583803,1.59,19.6,5413.0,q1_q17_dr25_tce,0.6129577380225721
K05275.01,,FALSE POSITIVE → CANDIDATE,3.781123,1.16,962.72,6318.0,q1_q17_dr25_tce,0.6854847162649546
K03478.01,Kepler-1697 b,CANDIDATE → CONFIRMED,33.4969115,2.97,37.3,4928.0,q1_q17_dr25_tce,0.9352440898841894
K05035.01,,FALSE POSITIVE → CANDIDATE,115.23145073,,,,q1_q16_tce,0.0724358536327252
K05037.01,,FALSE POSITIVE → CANDIDATE,349.58811,134.79,787.87,3860.0,q1_q16_tce,0.15346092836964892
K05157.01,,CANDIDATE → FALSE POSITIVE,0.782068488,21.02,343029.57,4475.0,q1_q17_dr25_tce,0.2549183711039217
K05160.01,,FALSE POSITIVE → CANDIDATE,258.63797782,,,,q1_q16_tce,0.2775144249839465
K05162.01,,FALSE POSITIVE → CANDIDATE,628.15844,0.95,0.03,3697.0,q1_q16_tce,0.5783412335429956
K03494.01,Kepler-1926 b,CANDIDATE → CONFIRMED,42.8774169,2.67,9.8,5256.0,q1_q17_dr25_tce,0.9084460526963396
K05044.01,,FALSE POSITIVE → CANDIDATE,161.537665,1.37,6.04,6033.0,q1_q16_tce,0.4941900620821163
K05165.01,,FALSE POSITIVE → CANDIDATE,369.73011,1.66,1.34,6283.0,q1_q16_tce,0.12372122110102476
K05289.01,,FALSE POSITIVE → CANDIDATE,181.81214,2.04,2.6,6060.0,q1_q16_tce,0.6835515171110202
K05291.01,,FALSE POSITIVE → CANDIDATE,525.560452,12.74,3.92,4954.0,q1_q16_tce,0.1828617530024761
K04921.01,,FALSE POSITIVE → CANDIDATE,95.688682,28.41,283.07,5040.0,q1_q16_tce,0.29676703732839416
K05047.01,,CANDIDATE → FALSE POSITIVE,326.70552,2.83,1.61,6036.0,q1_q16_tce,0.5901802052082087
K05300.01,,FALSE POSITIVE → CANDIDATE,188.954072,2.46,11.36,6392.0,q1_q17_dr25_tce,0.5489151524905562
K04931.01,,FALSE POSITIVE → CANDIDATE,579.81521,2.71,0.53,5822.0,q1_q16_tce,0.5912704595566297
K04932.01,,FALSE POSITIVE → CANDIDATE,19.12788374,,,,q1_q16_tce,0.3288334221297001
K05179.01,,CANDIDATE → FALSE POSITIVE,1.049468616,0.84,14709.49,7479.0,q1_q17_dr25_tce,0.039159183646517264
K05308.01,,FALSE POSITIVE → CANDIDATE,9.942228056,22.15,70.93,5268.0,q1_q17_dr25_tce,0.0576858763069679
K04940.01,,FALSE POSITIVE → CANDIDATE,84.6405853,1.72,1.27,4386.0,q1_q16_tce,0.788391157959287
K04943.01,,FALSE POSITIVE → CANDIDATE,15.2024426,113.97,18026.22,3984.0,q1_q16_tce,0.11578864409193988
K05066.01,,FALSE POSITIVE → CANDIDATE,110.089267,2.4,2.54,5465.0,q1_q16_tce,0.1851363881543141
K05188.01,,FALSE POSITIVE → CANDIDATE,455.195496,2.09,1.67,6478.0,q1_q16_tce,0.5653319308287497
K05196.01,,FALSE POSITIVE → CANDIDATE,392.47291,5.46,9.04,6626.0,q1_q17_dr25_tce,0.12835850137412022
K05320.01,,FALSE POSITIVE → CANDIDATE,357.437578,3.13,7.53,7610.0,q1_q16_tce,0.2478300619170433
K05213.01,,FALSE POSITIVE → CANDIDATE,48.2455501,0.64,9.61,5441.0,q1_q16_tce,0.217608700435617
K05337.01,,FALSE POSITIVE → CANDIDATE,470.65357,2.99,0.75,6039.0,q1_q16_tce,0.4946005100835136
